mid,country_id
862,US
8844,US
15602,US
31357,US
11862,US
949,US
11860,DE
11860,US
45325,US
9091,US
710,GB
710,US
9087,US
12110,FR
12110,US
21032,US
10858,US
1408,FR
1408,DE
1408,IT
524,FR
524,US
4584,GB
4584,US
5,US
9273,US
11517,US
8012,US
1710,US
9691,FR
9691,US
12665,US
451,US
16420,IT
9263,US
17015,FR
17015,GB
902,ES
902,FR
902,DE
37557,CN
37557,FR
9909,US
63,US
9598,AU
9598,US
687,US
687,GB
33689,US
9603,US
34615,ZA
34615,US
31174,GB
31174,US
11443,US
35196,US
9312,US
577,CA
577,GB
577,US
11861,US
807,US
10530,US
8391,CA
629,US
11448,US
49133,IT
49133,FR
49133,CH
26441,US
97406,FR
97406,US
9089,US
11010,BE
11010,FR
11010,IT
11359,US
17182,US
2054,US
10607,US
19760,US
9536,US
11525,US
4482,FR
10634,US
755,US
11859,US
28387,US
48750,FR
20927,US
36929,US
9102,CA
9102,JP
9102,US
124626,DE
124626,US
27526,US
9623,US
46785,IR
400,US
880,NL
880,GB
880,BE
146599,US
8447,GB
8447,US
10534,US
17414,US
13997,US
2086,US
9095,US
12158,US
9283,US
9208,US
40154,GB
406,FR
63076,GB
63076,CA
63076,US
11062,US
13685,US
47475,US
2045,US
9614,US
688,US
11907,DE
10874,GB
10874,US
89333,
197,US
103,US
33542,HK
43566,US
51352,NL
51352,GB
51352,US
16934,FR
16934,DE
16934,GB
10324,US
78406,US
32119,CA
11066,US
11104,HK
2074,US
27793,DE
27793,US
290157,
110972,
11863,US
9101,US
5757,US
9302,US
11000,US
16388,US
9737,US
30765,US
10474,US
22279,GB
30157,US
30157,FR
30157,GB
568,US
11780,GB
11780,US
34996,US
414,GB
414,US
649,FR
649,IT
1873,
5894,US
1775,CA
1775,US
8839,US
20649,US
10329,US
8963,US
26564,US
8068,US
8512,US
1572,US
13552,FR
13552,US
6520,US
9073,FR
9073,US
10428,US
17447,US
9886,CA
9886,US
9482,US
19326,US
9344,US
9071,US
8973,US
15730,CA
47608,US
2293,US
9070,JP
9070,US
48787,DE
48787,RU
48787,GB
34574,US
1642,US
11472,US
36196,US
11980,US
58372,US
32646,GB
32646,US
10533,US
10802,FR
10802,US
10149,DE
10149,JP
10149,US
18402,US
9348,US
281,US
5967,FR
47939,US
36834,FR
36834,BE
36834,GB
9090,US
3512,US
52856,US
77350,US
9560,US
9804,US
31611,FR
31611,US
65796,
49805,GB
26258,US
50797,FR
50797,RU
19155,GB
19155,MK
19155,FR
76,AT
76,CH
76,US
11017,US
37141,US
9382,FR
9382,US
6715,US
18256,US
22625,IE
22625,GB
2292,US
1909,US
8984,US
4954,US
62488,US
10531,US
10531,FR
10531,GB
11929,US
8467,US
10451,TW
10451,US
20156,CA
18395,US
522,US
397,GB
397,US
10525,US
27985,US
15789,AU
15789,CA
